lang,lang_ja,AD,AL,AM,AR,AT,AZ,BA,BD,BE,BG,BO,BR,BT,BW,BY,BZ,CA,CH,CL,CN,CO,CR,CY,CZ,DE,DK,DZ,EC,EE,EG,ES,FI,FR,GB,GF,GR,GT,GY,HN,HR,HU,ID,IE,IL,IN,IS,IT,KG,KR,KZ,LI,LK,LS,LT,LU,LV,MA,MC,MD,ME,MK,MT,MX,MY,NA,NI,NL,NO,NP,PA,PE,PL,PT,PY,RO,RS,RU,SE,SI,SK,SM,SR,SV,SZ,TJ,TM,TN,TR,TT,TW,US,UY,UZ,VA,VE,VN,XK,ZA,ZW,JP,AU,NZ,SG,MM,TH,PH
fi,フィンランド語,Andorra,Albania,Armenia,Argentiina,Itävalta,Azerbaidžan,Bosnia ja Hertsegovina,Bangladesh,Belgia,Bulgaria,Bolivia,Brasilia,Bhutan,Botswana,Valko-Venäjä,Belize,Kanada,Sveitsi,Chile,Kiina,Kolumbia,Costa Rica,Kypros,Tšekin tasavalta,Saksa,Tanska,Algeria,Ecuador,Viro,Egypti,Espanja,Suomi,Ranska,Yhdistynyt kuningaskunta,Ranskan Guayana,Kreikka,Guatemala,Guyana,Honduras,Kroatia,Unkari,Indonesia,Irlanti,Israel,Intia,Islanti,Italia,Kirgisia,Korea,Kazakstan,Liechtenstein,Sri Lanka,Lesotho,Liettua,Luxemburg,Latvia,Marokko,Monaco,Moldova,Montenegro,Makedonia,Malta,Meksiko,Malesia,Namibia,Nicaragua,Alankomaat,Norja,Nepal,Panama,Peru,Puola,Portugali,Paraguay,Romania,Serbia,Venäjän federaatio,Ruotsi,Slovenia,Slovakia,San Marino,Suriname,El Salvador,Swazimaa,Tadžikistan,Turkmenistan,Tunisia,Turkin tasavalta,Trinidad ja Tobago,Taiwan,Yhdysvallat,Uruguay,Uzbekistan,Vatikaanin kaupunkivaltio,Venezuela,Vietnam,Kosovon tasavalta,Etelä-Afrikka,Zimbabwe,Japani,Australia,Uusi Seelanti,Singapore,Myanmar,Thaimaa,Filippiinit
fr,フランス語,Andorre,Albanie,Arménie,Argentine,L'Autriche,Azerbaïdjan,Bosnie Herzégovine,Bangladesh,la Belgique,Bulgarie,Bolivie,Brésil,Bhoutan,Botswana,Biélorussie,Belize,Canada,la Suisse,Chili,Chine,Colombie,Costa Rica,Chypre,République tchèque,Allemagne,Danemark,Algérie,Equateur,Estonie,Egypte,Espagne,Finlande,France,Royaume-Uni,Guyane Française,Grèce,Guatemala,Guyane,Honduras,Croatie,Hongrie,Indonésie,Irlande,Israël,Inde,Islande,Italie,Kirghizistan,Corée,Kazakhstan,Liechtenstein,Sri Lanka,Lesotho,Lituanie,Luxembourg,Lettonie,Maroc,Monaco,Moldavie,Monténégro,Macédoine,Malte,Mexique,Malaisie,Namibie,Nicaragua,Pays-Bas,Norvège,Népal,Panama,Pérou,Pologne,le Portugal,Paraguay,Roumanie,Serbie,Fédération Russe,Suède,Slovénie,Slovaquie,Saint Marin,Suriname,Le Salvador,Swaziland,Tadjikistan,Turkménistan,Tunisie,République de Turquie,Trinité-et-Tobago,Taïwan,États Unis,Uruguay,Ouzbékistan,État de la Cité du Vatican,Venezuela,Viet Nam,République du Kosovo,Afrique du Sud,Zimbabwe,Japon,Australie,Nouvelle-Zélande,Singapour,Myanmar,Thaïlande,Philippines
de,ドイツ語,Andorra,Albanien,Armenien,Argentinien,Österreich,Aserbaidschan,Bosnien und Herzegowina,Bangladesch,Belgien,Bulgarien,Bolivien,Brasilien,Bhutan,Botswana,Weißrussland,Belize,Kanada,Schweiz,Chile,China,Kolumbien,Costa Rica,Zypern,Tschechische Republik,Deutschland,Dänemark,Algerien,Ecuador,Estland,Ägypten,Spanien,Finnland,Frankreich,Vereinigtes Königreich,Französisch-Guayana,Griechenland,Guatemala,Guyana,Honduras,Kroatien,Ungarn,Indonesien,Irland,Israel,Indien,Island,Italien,Kirgisistan,Korea,Kasachstan,Liechtenstein,Sri Lanka,Lesotho,Litauen,Luxemburg,Lettland,Marokko,Monaco,Moldawien,Montenegro,Mazedonien,Malta,Mexiko,Malaysia,Namibia,Nicaragua,Niederlande,Norwegen,Nepal,Panama,Peru,Polen,Portugal,Paraguay,Rumänien,Serbien,Russische Föderation,Schweden,Slowenien,Slowakei,San Marino,Suriname,El Salvador,Swasiland,Tadschikistan,Turkmenistan,Tunesien,Türkische Republik,Trinidad und Tobago,Taiwan,Vereinigte Staaten,Uruguay,Usbekistan,Staat der Vatikanstadt,Venezuela,Vietnam,Republik Kosovo,Südafrika,Zimbabwe,Japan,Australien,Neuseeland,Singapur,Myanmar,Thailand,Philippinen
he,ヘブライ語,אנדורה,אלבניה,אַרְמֶנִיָה,ארגנטינה,אוֹסְטְרֵיָה,אזרבייג'ן,בוסניה והרצגובינה,בנגלדש,בלגיה,בולגריה,בוליביה,בְּרָזִיל,בהוטן,בוצואנה,בלארוס,בליז,קנדה,שוויץ,צ'ילה,חרסינה,קולומביה,קוסטה ריקה,קַפרִיסִין,הרפובליקה הצ'כית,גֶרמָנִיָה,דנמרק,אלג'יריה,אקוודור,אסטוניה,מִצְרַיִם,סְפָרַד,פינלנד,צָרְפַת,הממלכה המאוחדת,גיאנה הצרפתית,יָוָן,גואטמלה,גיאנה,הונדורס,קרואטיה,הונגריה,אִינדוֹנֵזִיָה,אירלנד,ישראל,הוֹדוּ,אִיסלַנד,אִיטַלִיָה,קירגיזסטן,קוריאה,קזחסטן,ליכטנשטיין,סרי לנקה,לסוטו,ליטא,לוקסמבורג,לטביה,מָרוֹקוֹ,מונקו,מולדובה,מונטנגרו,מוּקדוֹן,מלטה,מקסיקו,מלזיה,נמיביה,ניקרגואה,הולנד,נורווגיה,נפאל,פנמה,פרו,פּוֹלִין,פּוֹרטוּגָל,פרגוואי,רומניה,סרביה,הפדרציה הרוסית,שבדיה,סלובניה,סלובקיה,סן מרינו,סורינאם,אל סלבדור,סווזילנד,טג'יקיסטן,טורקמניסטן,תוניסיה,הרפובליקה של טורקיה,טרינידד וטובגו,טייוואן,ארצות הברית,אורוגוואי,אוזבקיסטן,מדינת הוותיקן,ונצואלה,וייטנאם,הרפובליקה של קוסובו,דרום אפריקה,זימבבואה,יפן,אוֹסטְרַלִיָה,ניו זילנד,סינגפור,מיאנמר,תאילנד,הפיליפינים
hi,ヒンディー語,एंडोरा,अल्बानिया,आर्मीनिया,अर्जेंटीना,ऑस्ट्रिया,आज़रबाइजान,बोस्निया और हर्जेगोविना,बांग्लादेश,बेल्जियम,बुल्गारिया,बोलीविया,ब्राज़िल,भूटान,बोत्सवाना,बेलोरूस,बेलीज़,कनाडा,स्विट्ज़रलैंड,चिली,चीन,कोलंबिया,कोस्टा रिका,साइप्रस,चेक रिपब्लिक,जर्मनी,डेनमार्क,एलजीरिया,इक्वेडोर,एस्तोनिया,मिस्र,स्पेन,फिनलैंड,फ्रांस,यूनाइटेड किंगडम,फ्रेंच गयाना,यूनान,ग्वाटेमाला,गुयाना,होंडुरस,क्रोएशिया,हंगरी,इंडोनेशिया,आयरलैंड,इजराइल,भारत,आइसलैंड,इटली,किर्गिज़स्तान,कोरिया,कजाखस्तान,लिकटेंस्टाइन,श्री लंका,लिसोटो,लिथुआनिया,लक्समबर्ग,लातविया,मोरक्को,मोनाको,मोलदोवा,मोंटेनेग्रो,मैसेडोनिया,माल्टा,मेक्सिको,मलेशिया,नामिबिया,निकारागुआ,नीदरलैंड,नॉर्वे,नेपाल,पनामा,पेरू,पोलैंड,पुर्तगाल,परागुआ,रोमानिया,सर्बिया,रूसी संघ,स्वीडन,स्लोवेनिया,स्लोवाकिया,सैन मैरीनो,सूरीनाम,एल साल्वाडोर,स्वाजीलैंड,तजाकिस्तान,तुर्कमेनिस्तान,ट्यूनीशिया,तुर्की का गणतंत्र,त्रिनिदाद और टोबैगो,ताइवान,संयुक्त राज्य अमेरिका,उरुग्वे,उज़्बेकिस्तान,वेटिकन सिटी राज्य,वेनेजुएला,वियतनाम,कोसोवो गणराज्य,दक्षिण अफ्रीका,जिम्बाब्वे,जापान,ऑस्ट्रेलिया,न्यूज़ीलैंड,सिंगापुर,म्यांमार,थाईलैंड,फिलीपींस
hu,ハンガリー語,Andorra,Albánia,Örményország,Argentína,Ausztria,Azerbajdzsán,Bosznia és Hercegovina,Banglades,Belgium,Bulgária,Bolívia,Brazília,Bhután,Botswana,Fehéroroszország,Belize,Kanada,Svájc,Chile,Kína,Colombia,Costa Rica,Ciprus,Cseh Köztársaság,Németország,Dánia,Algéria,Ecuador,Észtország,Egyiptom,Spanyolország,Finnország,Franciaország,Egyesült Királyság,Francia Guyana,Görögország,Guatemala,Guyana,Honduras,Horvátország,Magyarország,Indonézia,Írország,Izrael,India,Izland,Olaszország,Kirgizisztán,Korea,Kazahsztán,Liechtenstein,Srí Lanka,Lesotho,Litvánia,Luxemburg,Lettország,Marokkó,Monaco,Moldova,Montenegró,Macedónia,Málta,Mexikó,Malaysia,Namíbia,Nicaragua,Hollandia,Norvégia,Nepál,Panama,Peru,Lengyelország,Portugália,Paraguay,Románia,Szerbia,Orosz Föderáció,Svédország,Szlovénia,Szlovákia,San Marino,Suriname,El Salvador,Szváziföld,Tádzsikisztán,Türkmenisztán,Tunézia,Török Köztársaság,Trinidad és Tobago,Tajvan,Egyesült Államok,Uruguay,Üzbegisztán,Vatikánvárosi állam,Venezuela,Vietnam,Koszovói Köztársaság,Dél-Afrika,Zimbabwe,Japán,Ausztrália,Új Zéland,Szingapúr,Mianmar,Thaiföld,Fülöp-szigetek
is,アイスランド語,Andorra,Albanía,Armenía,Argentína,Austurríki,Aserbaídsjan,Bosnía og Hersegóvína,Bangladess,Belgía,Búlgaría,Bólivía,Brasilía,Bútan,Botsvana,Hvíta-Rússland,Belís,Kanada,Sviss,Chile,Kína,Kólumbíu,Kosta Ríka,Kýpur,Tékkland,Þýskalandi,Danmörk,Alsír,Ekvador,Eistland,Egyptaland,Spánn,Finnland,Frakkland,Bretland,Franska Gvæjana,Grikkland,Gvatemala,Gvæjana,Hondúras,Króatía,Ungverjalandi,Indónesía,Írland,Ísrael,Indland,Ísland,Ítalía,Kirgistan,Kóreu,Kasakstan,Liechtenstein,Sri Lanka,Lesótó,Litháen,Lúxemborg,Lettland,Marokkó,Mónakó,Moldóva,Svartfjallaland,Makedónía,Malta,Mexíkó,Malasía,Namibía,Níkaragva,Holland,Noregur,Nepal,Panama,Perú,Pólland,Portúgal,Paragvæ,Rúmenía,Serbía,Rússland,Svíþjóð,Slóvenía,Slóvakía,San Marínó,Súrínam,El Salvador,Svasíland,Tadsjikistan,Túrkmenistan,Túnis,Lýðveldið Tyrkland,Trínidad og Tóbagó,Taívan,Bandaríkin,Úrúgvæ,Úsbekistan,Vatíkanríkið,Venesúela,Víetnam,Lýðveldið Kosovo,Suður-Afríka,Simbabve,Japan,Ástralía,Nýja Sjáland,Singapore,Mjanmar,Tæland,Filippseyjar
id,インドネシア語,Andorra,Albania,Armenia,Argentina,Austria,Azerbaijan,Bosnia dan Herzegovina,Bangladesh,Belgium,Bulgaria,Bolivia,Brazil,Bhutan,Botswana,Belarusia,Belize,Kanada,Swiss,Chile,Cina,Kolumbia,Kosta Rika,Siprus,Republik Ceko,Jerman,Denmark,Aljazair,Ekuador,Estonia,Mesir,Spanyol,Finlandia,Perancis,Britania Raya,Guyana Perancis,Yunani,Guatemala,Guyana,Honduras,Kroasia,Hungaria,Indonesia,Irlandia,Israel,India,Islandia,Italia,Kirgistan,Korea,Kazakhstan,Liechtenstein,Srilanka,Lesotho,Lithuania,Luksemburg,Latvia,Maroko,Monaco,Moldova,Montenegro,Makedonia,Malta,Mexico,Malaysia,Namibia,Nikaragua,Belanda,Norway,Nepal,Panama,Peru,Polandia,Portugal,Paraguay,Rumania,Serbia,Federasi Rusia,Swedia,Slovenia,Slowakia,San Marino,Suriname,El Salvador,Swaziland,Tajikistan,Turkmenistan,Tunisia,Republik Turki,Trinidad dan Tobago,Taiwan,Amerika Serikat,Uruguay,Uzbekistan,Negara Kota Vatikan,Venezuela,Vietnam,Republik Kosovo,Afrika Selatan,Zimbabwe,Jepang,Australia,Selandia Baru,Singapura,Myanmar,Thailand,Filipina
ga,アイルランド語,Andóra,Albáin,Airméin,An Airgintín,An Ostair,An Asarbaiseáin,An Bhoisnia agus Heirseagaivéin,An Bhanglaidéis,An Bheilg,An Bhulgáir,An Bholaiv,An Bhrasaíl,An Bhútáin,An Bhotsuáin,An Bhealarúis,An Bheilís,Ceanada,An Eilvéis,An tSile,An tSín,An Cholóim,Costa Rica,An Chipir,Poblacht na Seice,An Ghearmáin,An Danmhairg,An Ailgéir,Eacuadór,An Eastóin,An Éigipt,an Spáinn,An Fhionlainn,An Fhrainc,an Ríocht Aontaithe,Guáin na Fraince,An Ghréig,Guatamala,An Ghuáin,Hondúras,An Chróit,An Ungáir,An Indinéis,Éireann,Iosrael,An India,An Íoslainn,An Iodáil,An Chirgeastáin,An Chóiré,An Chasacstáin,Lichtinstéin,Srí Lanca,Leosóta,An Liotuáin,Lucsamburg,An Laitvia,Maracó,Monacó,An Mholdóiv,Montainéagró,Macadóine,Málta,Meicsiceo,An Mhalaeisia,Namaib,Nicearagua,An Ísiltír,An Iorua,Neipeal,Panama,Peiriú,An Pholainn,An Phortaingéil,Paragua,An Rómáin,An tSeirbia,Cónaidhm na Rúise,An tSualainn,An tSlóivéin,An tSlóvaic,San Mairíne,Suranam,El Salvador,An tSuasalainn,Táidsíceastáin,An Tuircméanastáin,An Túinéis,Poblacht na Tuirce,Oileán na Tríonóide agus Tobága,Taiwan,Stáit Aontaithe,Uragua,Úisbéiceastáin,Stát Chathair na Vatacáine,Veiniséala,Viet Nam,Poblacht na Cosaive,an Afraic Theas,An tSiombáib,An tSeapáin,An Astráil,An Nua-Shéalainn,Singeapór,Maenmar,An Téalainn,Na hOileáin Fhilipíneacha
it,イタリア語,Andorra,Albania,Armenia,Argentina,Austria,Azerbaigian,Bosnia Erzegovina,Bangladesh,Belgio,Bulgaria,Bolivia,Brasile,Bhutan,Botswana,Bielorussia,Belize,Canada,Svizzera,Chile,Cina,Colombia,Costa Rica,Cipro,Repubblica Ceca,Germania,Danimarca,Algeria,Ecuador,Estonia,Egitto,Spagna,Finlandia,Francia,Regno Unito,Guiana francese,Grecia,Guatemala,Guyana,Honduras,Croazia,Ungheria,Indonesia,Irlanda,Israele,India,Islanda,Italia,Kirghizistan,Corea,Kazakistan,Liechtenstein,Sri Lanka,Lesotho,Lituania,Lussemburgo,Lettonia,Marocco,Monaco,Moldova,Montenegro,Macedonia,Malta,Messico,Malaysia,Namibia,Nicaragua,Olanda,Norvegia,Nepal,Panama,Perù,Polonia,Portogallo,Paraguay,Romania,Serbia,Federazione Russa,Svezia,Slovenia,Slovacchia,San Marino,Suriname,El Salvador,Swaziland,Tagikistan,Turkmenistan,Tunisia,Repubblica turca,Trinidad e Tobago,Taiwan,stati Uniti,Uruguay,Uzbekistan,Stato della Città del Vaticano,Venezuela,Viet Nam,Repubblica del Kosovo,Sud Africa,Zimbabwe,Giappone,Australia,Nuova Zelanda,Singapore,Myanmar,Tailandia,Filippine
ja,日本語,アンドラ,アルバニア,アルメニア,アルゼンチン,オーストリア,アゼルバイジャン,ボスニア・ヘルツェゴビナ,バングラデシュ,ベルギー,ブルガリア,ボリビア,ブラジル,ブータン,ボツワナ,ベラルーシ,ベリーズ,カナダ,スイス,チリ,中国,コロンビア,コスタリカ,キプロス,チェコ共和国,ドイツ,デンマーク,アルジェリア,エクアドル,エストニア,エジプト,スペイン,フィンランド,フランス,イギリス,フランス領ギアナ,ギリシャ,グアテマラ,ガイアナ,ホンジュラス,クロアチア,ハンガリー,インドネシア,アイルランド,イスラエル,インド,アイスランド,イタリア,キルギスタン,韓国,カザフスタン,リヒテンシュタイン,スリランカ,レソト,リトアニア,ルクセンブルク,ラトビア,モロッコ,モナコ,モルドバ,モンテネグロ,マケドニア,マルタ,メキシコ,マレーシア,ナミビア,ニカラグア,オランダ,ノルウェー,ネパール,パナマ,ペルー,ポーランド,ポルトガル,パラグアイ,ルーマニア,セルビア,ロシア連邦,スウェーデン,スロベニア,スロバキア,サンマリノ,スリナム,エルサルバドル,スワジランド,タジキスタン,トルクメニスタン,チュニジア,トルコ共和国,トリニダード・トバゴ,台湾,アメリカ,ウルグアイ,ウズベキスタン,バチカン市国,ベネズエラ,ベトナム,コソボ共和国,南アフリカ,ジンバブエ,日本,オーストラリア,ニュージーランド,シンガポール,ミャンマー,タイ,フィリピン
ko,朝鮮語,안도라,알바니아,아르메니아,아르헨티나,오스트리아,아제르바이잔,보스니아 헤르체고비나,방글라데시,벨기에,불가리아,볼리비아,브라질,부탄,보츠와나,벨라루스,벨리즈,캐나다,스위스,칠레,중국,콜롬비아,코스타리카,키프로스,체코 공화국,독일,덴마크,알제리,에콰도르,에스토니아,이집트,스페인,핀란드,프랑스,영국,프랑스 령 기아나,그리스,과테말라,가이아나,온두라스,크로아티아,헝가리,인도네시아,아일랜드,이스라엘,인도,아이슬란드,이탈리아,키르기스스탄,대한민국,카자흐스탄,리히텐슈타인,스리랑카,레소토,리투아니아,룩셈부르크,라트비아,모로코,모나코,몰도바,몬테네그로,마케도니아,몰타,멕시코,말레이시아,나미비아,니카라과,네덜란드,노르웨이,네팔,파나마,페루,폴란드,포르투갈,파라과이,루마니아,세르비아,러시아 연방,스웨덴,슬로베니아,슬로바키아,산 마리노,수리남,엘살바도르,스와질랜드,타지키스탄,투르크 메니스탄,튀니지,터키 공화국,트리니다드 토바고,대만,미국,우루과이,우즈베키스탄,바티칸 시국,베네수엘라,베트남,코소보 공화국,남아프리카,짐바브웨,일본,호주,뉴질랜드,싱가포르,미얀마,태국,필리핀 제도
lv,ラトビア語,Andora,Albānija,Armēnija,Argentīna,Austrija,Azerbaidžāna,Bosnija un Hercegovina,Bangladeša,Beļģija,Bulgārija,Bolīvija,Brazīlija,Butāna,Botsvāna,Baltkrievija,Beliza,Kanāda,Šveice,Čīle,Ķīna,Kolumbija,Kostarika,Kipra,Čehu Republika,Vācija,Dānija,Alžīrija,Ekvadora,Igaunija,Ēģipte,Spānija,Somija,Francija,Apvienotā Karaliste,Franču Gviāna,Grieķija,Gvatemala,Gajāna,Hondurasa,Horvātija,Ungārija,Indonēzija,Īrija,Izraēla,Indija,Islande,Itālija,Kirgizstāna,Koreja,Kazahstāna,Lihtenšteina,Šrilanka,Lesoto,Lietuva,Luksemburga,Latvija,Maroka,Monako,Moldova,Melnkalne,Maķedonija,Malta,Meksika,Malaizija,Namībija,Nikaragva,Nīderlande,Norvēģija,Nepāla,Panama,Peru,Polija,Portugāle,Paragvaja,Rumānija,Serbija,Krievijas Federācija,Zviedrija,Slovēnija,Slovākija,Sanmarīno,Surinama,Salvadora,Svazilenda,Tadžikistāna,Turkmenistāna,Tunisija,Turcijas Republika,Trinidada un Tobāgo,Taivāna,Savienotās Valstis,Urugvaja,Uzbekistāna,Vatikāna Pilsētvalsts,Venecuēla,Vjetnama,Kosovas Republika,Dienvidāfrika,Zimbabve,Japāna,Austrālija,Jaunzēlande,Singapūra,Mjanma,Taizeme,Filipīnas
lt,リトアニア語,Andora,Albanija,Armėnija,Argentina,Austrija,Azerbaidžanas,Bosnija ir Hercegovina,Bangladešas,Belgija,Bulgarija,Bolivija,Brazilija,Butanas,Botsvana,Baltarusija,Belizas,Kanada,Šveicarija,Čilė,Kinija,Kolumbija,Kosta Rika,Kipras,Čekijos Respublika,Vokietija,Danija,Alžyras,Ekvadoras,Estija,Egiptas,Ispanija,Suomija,Prancūzija,Jungtinė Karalystė,Prancūzijos Gviana,Graikija,Gvatemala,Gajana,Hondūras,Kroatija,Vengrija,Indonezija,Airija,Izraelis,Indija,Islandija,Italija,Kirgizija,Korėja,Kazachstanas,Lichtenšteinas,Šri Lanka,Lesotas,Lietuva,Liuksemburgas,Latvija,Marokas,Monakas,Moldova,Juodkalnija,Makedonija,Malta,Meksika,Malaizija,Namibija,Nikaragva,Nyderlandai,Norvegija,Nepalas,Panama,Peru,Lenkija,Portugalija,Paragvajus,Rumunija,Serbija,Rusijos Federacija,Švedija,Slovėnija,Slovakija,San Marinas,Surinamas,Salvadoras,Svazilandas,Tadžikistanas,Turkmėnistanas,Tunisas,Turkijos Respublika,Trinidadas ir Tobagas,Taivanas,Jungtinės Valstijos,Urugvajus,Uzbekistanas,Vatikano miesto valstybė,Venesuela,Vietnamas,Kosovo Respublika,pietų Afrika,Zimbabvė,Japonija,Australija,Naujoji Zelandija,Singapūras,Mianmaras,Tailandas,Filipinai
ms,マレー語,Andorra,Albania,Armenia,Argentina,Austria,Azerbaijan,Bosnia dan Herzegovina,Bangladesh,Belgium,Bulgaria,Bolivia,Brazil,Bhutan,Botswana,Belarus,Belize,Kanada,Switzerland,Cili,China,Colombia,Costa rica,Cyprus,Republik Czech,Jerman,Denmark,Algeria,Ecuador,Estonia,Mesir,Sepanyol,Finland,Perancis,United Kingdom,Guyana Perancis,Yunani,Guatemala,Guyana,Honduras,Croatia,Hungary,Indonesia,Ireland,Israel,India,Iceland,Itali,Kyrgyzstan,Korea,Kazakhstan,Liechtenstein,Sri Lanka,Lesotho,Lithuania,Luxembourg,Latvia,Maghribi,Monaco,Moldova,Montenegro,Macedonia,Malta,Mexico,Malaysia,Namibia,Nicaragua,Belanda,Norway,Nepal,Panama,Peru,Poland,Portugal,Paraguay,Romania,Serbia,Persekutuan Russia,Sweden,Slovenia,Slovakia,San Marino,Nama Surin,El Salvador,Swaziland,Tajikistan,Turkmenistan,Tunisia,Republik Turki,Trinidad dan Tobago,Taiwan,Amerika Syarikat,Uruguay,Uzbekistan,Negeri Bandar Vatikan,Venezuela,Vietnam,Republik Kosovo,Afrika Selatan,Zimbabwe,Jepun,Australia,New Zealand,Singapura,Myanmar,Thailand,Filipina
mt,マルタ語,Andorra,Albanija,Armenja,Arġentina,L-Awstrija,Ażerbajġan,Il-Bożnja u Ħerzegovina,Bangladesh,Il-Belġju,Bulgarija,Bolivja,Brażil,Butan,Botswana,Il-Belarussja,Il-Beliże,Il-Kanada,L-Iżvizzera,Ċili,Iċ-Ċina,Kolombja,Il-Kosta Rika,Ċipru,Repubblika Ċeka,Il-Ġermanja,Id-Danimarka,Alġerija,L-Ekwador,L-Estonja,L-Eġittu,Spanja,Il-Finlandja,Franza,Ir-Renju Unit,Il-Gujana Franċiża,Il-Greċja,Il-Gwatemala,Il-Gujana,Il-Ħonduras,Il-Kroazja,L-Ungerija,L-Indoneżja,L-Irlanda,Iżrael,L-Indja,L-Islanda,L-Italja,Kirgiżistan,Korea,Il-Każakstan,Liechtenstein,Sri Lanka,Il-Lesoto,Il-Litwanja,Il-Lussemburgu,Il-Latvja,Il-Marokk,Monako,Il-Moldova,Montenegro,Il-Maċedonja,Malta,Messiku,Il-Malasja,In-Namibja,In-Nikaragwa,Olanda,In-Norveġja,Nepal,Panama,Il-Peru,Il-Polonja,Portugall,Il-Paragwaj,Ir-Rumanija,Is-Serbja,Federazzjoni Russa,L-Iżvezja,Is-Slovenja,Is-Slovakkja,San Marino,Surinam,El Salvador,Sważiland,Taġikistan,Turkmenistan,It-Tuneżija,Repubblika tat-Turkija,Trinidad u Tobago,Tajwan,Stati Uniti,Urugwaj,L-Użbekistan,Stat tal-Belt tal-Vatikan,Il-Venezwela,Il-Vjetnam,Ir-Repubblika tal-Kosovo,Afrika t'Isfel,Iż-Żimbabwe,Ġappun,L-Awstralja,New Zealand,Singapor,Il-Mjanmar,It-Tajlandja,Filippini
no,ノルウェー語,Andorra,Albania,Armenia,Argentina,Østerrike,Aserbajdsjan,Bosnia og Herzegovina,Bangladesh,Belgia,Bulgaria,Bolivia,Brasil,Bhutan,Botswana,Hviterussland,Belize,Canada,Sveits,Chile,Kina,Colombia,Costa Rica,Kypros,Tsjekkisk Republikk,Tyskland,Danmark,Algerie,Ecuador,Estland,Egypt,Spania,Finland,Frankrike,Storbritannia,fransk Guyana,Hellas,Guatemala,Guyana,Honduras,Kroatia,Ungarn,Indonesia,Irland,Israel,India,Island,Italia,Kirgisistan,Korea,Kasakhstan,Liechtenstein,Sri Lanka,Lesotho,Litauen,Luxembourg,Latvia,Marokko,Monaco,Moldova,Montenegro,Makedonia,Malta,Mexico,Malaysia,Namibia,Nicaragua,Nederland,Norge,Nepal,Panama,Peru,Polen,Portugal,Paraguay,Romania,Serbia,Russland,Sverige,Slovenia,Slovakia,San Marino,Surinam,El Salvador,Swaziland,Tadsjikistan,Turkmenistan,Tunisia,Republikken Tyrkia,Trinidad og Tobago,Taiwan,forente stater,Uruguay,Usbekistan,Vatikanstaten,Venezuela,Vietnam,Republikken Kosovo,Sør-Afrika,Zimbabwe,Japan,Australia,New Zealand,Singapore,Myanmar,Thailand,Filippinene
nb-no,ノルウェー語 ブークモール,Andorra,Albania,Armenia,Argentina,Østerrike,Aserbajdsjan,Bosnia og Herzegovina,Bangladesh,Belgia,Bulgaria,Bolivia,Brasil,Bhutan,Botswana,Hviterussland,Belize,Canada,Sveits,Chile,Kina,Colombia,Costa Rica,Kypros,Tsjekkisk Republikk,Tyskland,Danmark,Algerie,Ecuador,Estland,Egypt,Spania,Finland,Frankrike,Storbritannia,fransk Guyana,Hellas,Guatemala,Guyana,Honduras,Kroatia,Ungarn,Indonesia,Irland,Israel,India,Island,Italia,Kirgisistan,Korea,Kasakhstan,Liechtenstein,Sri Lanka,Lesotho,Litauen,Luxembourg,Latvia,Marokko,Monaco,Moldova,Montenegro,Makedonia,Malta,Mexico,Malaysia,Namibia,Nicaragua,Nederland,Norge,Nepal,Panama,Peru,Polen,Portugal,Paraguay,Romania,Serbia,Russland,Sverige,Slovenia,Slovakia,San Marino,Surinam,El Salvador,Swaziland,Tadsjikistan,Turkmenistan,Tunisia,Republikken Tyrkia,Trinidad og Tobago,Taiwan,forente stater,Uruguay,Usbekistan,Vatikanstaten,Venezuela,Vietnam,Republikken Kosovo,Sør-Afrika,Zimbabwe,Japan,Australia,New Zealand,Singapore,Myanmar,Thailand,Filippinene
nb,ノルウェー語 ブークモール,Andorra,Albania,Armenia,Argentina,Østerrike,Aserbajdsjan,Bosnia og Herzegovina,Bangladesh,Belgia,Bulgaria,Bolivia,Brasil,Bhutan,Botswana,Hviterussland,Belize,Canada,Sveits,Chile,Kina,Colombia,Costa Rica,Kypros,Tsjekkisk Republikk,Tyskland,Danmark,Algerie,Ecuador,Estland,Egypt,Spania,Finland,Frankrike,Storbritannia,fransk Guyana,Hellas,Guatemala,Guyana,Honduras,Kroatia,Ungarn,Indonesia,Irland,Israel,India,Island,Italia,Kirgisistan,Korea,Kasakhstan,Liechtenstein,Sri Lanka,Lesotho,Litauen,Luxembourg,Latvia,Marokko,Monaco,Moldova,Montenegro,Makedonia,Malta,Mexico,Malaysia,Namibia,Nicaragua,Nederland,Norge,Nepal,Panama,Peru,Polen,Portugal,Paraguay,Romania,Serbia,Russland,Sverige,Slovenia,Slovakia,San Marino,Surinam,El Salvador,Swaziland,Tadsjikistan,Turkmenistan,Tunisia,Republikken Tyrkia,Trinidad og Tobago,Taiwan,forente stater,Uruguay,Usbekistan,Vatikanstaten,Venezuela,Vietnam,Republikken Kosovo,Sør-Afrika,Zimbabwe,Japan,Australia,New Zealand,Singapore,Myanmar,Thailand,Filippinene
