"formName","defaultLang","language","contactTitle","name","countryOrRegionTitle","countryOrRegion","phoneTitle","phone","displayPhone","globalPhone","displayGlobalPhone","international","webpageTitle","displayWebpage","webpageUrl","addressTitle","address","informationTitle","information"
"FSO_103","en","pt","Contacte-nos","FANUC South America - Buenos Aires","País ou Região","Argentina","Telefone","01149428504","011-4942-8504","+541149428504","+54-11-4942-8504","Internacional","Web page","https://www.fanucamerica.com","https://www.fanucamerica.com","Endereço","Avenida Juan de Garay 2338, C1256AAS Buenos Aires, Argentina","Informação",""
"FDE_207","en","en","Contact Us","FANUC Deutschland","Country or Region","Germany","Phone","0715812825555","07158-1282-5555","+49715812825555","+49-7158-1282-5555","International","Web page","https://www.fanuc.eu/de/de","https://www.fanuc.eu/de/de","Address","Bernhäuserstr.36, 73765 Neuhausen a.d.F., Germany","Information",""
"FDE_207","en","de","Kontaktieren Sie uns","FANUC Deutschland","Land oder Region","Germany","Telefon","0715812825555","07158-1282-5555","+49715812825555","+49-7158-1282-5555","International","Web-Seite","https://www.fanuc.eu/de/de","https://www.fanuc.eu/de/de","Adresse","Bernhäuserstr.36, 73765 Neuhausen a.d.F., Germany","Information",""
"FFR_213","en","fr","Contactez-nous","FANUC FRANCE","Pays ou région","France","Téléphone","0172073051","01-72-07-30-51","+33172073051","+33-1-72-07-30-51","International","Page web","https://www.fanuc.eu/fr/fr","https://www.fanuc.eu/fr/fr","Adresse","15 Rue Léonard de Vinci 91090 LISSES - FRANCE","Informations","Les bureaux sont ouverts de 8h30 à 17h30 du lundi au vendredi"
"FFR_213","en","en","Contact Us","FANUC FRANCE","Country or Region","France","Phone","0172073051","01-72-07-30-51","+33172073051","+33-1-72-07-30-51","International","Web page","https://www.fanuc.eu/fr/fr","https://www.fanuc.eu/fr/fr","Address","15 Rue Léonard de Vinci 91090 LISSES - FRANCE","Information","Office is open from 8:30 am to 5:30 pm. Monday to Friday"
"FFR_215","en","en","Contact Us","FANUC FRANCE","Country or Region","France","Phone","0172073050","01-72-07-30-50","+33172073050","+33-1-72-07-30-50","International","Web page","https://www.fanuc.eu/fr/fr","https://www.fanuc.eu/fr/fr","Address","15 Rue Léonard de Vinci 91090 LISSES - FRANCE","Information","Office is open from 8:30 am to 5:30 pm. Monday to Friday"
"FFR_215","en","fr","Contactez-nous","FANUC FRANCE","Pays ou région","France","Téléphone","0172073050","01-72-07-30-50","+33172073050","+33-1-72-07-30-50","International","Page web","https://www.fanuc.eu/fr/fr","https://www.fanuc.eu/fr/fr","Adresse","15 Rue Léonard de Vinci 91090 LISSES - FRANCE","Informations","Les bureaux sont ouverts de 8h30 à 17h30 du lundi au vendredi"
"FFR_217","en","fr","Contactez-nous","FANUC FRANCE","Pays ou région","France","Téléphone","0172073052","01-72-07-30-52","+33172073052","+33-1-72-07-30-52","International","Page web","https://www.fanuc.eu/fr/fr","https://www.fanuc.eu/fr/fr","Adresse","628 Avenue des Amaranches 74460 MARNAZ - FRANCE","Informations","Les bureaux sont ouverts de 8h30 à 17h30 du lundi au vendredi"
"FFR_217","en","en","Contact Us","FANUC FRANCE","Country or Region","France","Phone","0172073052","01-72-07-30-52","+33172073052","+33-1-72-07-30-52","International","Web page","https://www.fanuc.eu/fr/fr","https://www.fanuc.eu/fr/fr","Address","628 Avenue des Amaranches 74460 MARNAZ - FRANCE","Information","Office is open from 8:30 am to 5:30 pm. Monday to Friday"
"FFR_218","en","fr","Contactez-nous","FANUC FRANCE","Pays ou région","France","Téléphone","0172073053","01-72-07-30-53","+33172073053","+33-1-72-07-30-53","International","Page web","https://www.fanuc.eu/fr/fr","https://www.fanuc.eu/fr/fr","Adresse","15 Rue Léonard de Vinci 91090 LISSES - FRANCE","Informations","Les bureaux sont ouverts de 8h30 à 17h30 du lundi au vendredi"
"FFR_218","en","en","Contact Us","FANUC FRANCE","Country or Region","France","Phone","0172073053","01-72-07-30-53","+33172073053","+33-1-72-07-30-53","International","Web page","https://www.fanuc.eu/fr/fr","https://www.fanuc.eu/fr/fr","Address","15 Rue Léonard de Vinci 91090 LISSES - FRANCE","Information","Office is open from 8:30 am to 5:30 pm. Monday to Friday"
"FIB_219","en","en","Contact Us","FANUC Iberia","Country or Region","SPAIN","Phone","0938007497","093-800-7497","+34938007497","+34-93-800-7497","International","Web page","http://www.fanuc.es","http://www.fanuc.es","Address","P.l. El Camí Ral, Ronda Can Rabadà n° 23, nave 1, 08860 Castelldefels (Barcelona)","Information",""
"FIB_219","en","es","Contáctenos","FANUC Iberia","País o Región","SPAIN","Teléfono","0938007497","093-800-7497","+34938007497","+34-93-800-7497","Internacional","Página WEB","http://www.fanuc.es","http://www.fanuc.es","Dirección","P.l. El Camí Ral, Ronda Can Rabadà n° 23, nave 1, 08860 Castelldefels (Barcelona)","Información",""
"FIB_219","en","fr","Contactez-nous","FANUC Iberia","Pays ou région","SPAIN","Téléphone","0938007497","093-800-7497","+34938007497","+34-93-800-7497","International","Page web","http://www.fanuc.es","http://www.fanuc.es","Adresse","P.l. El Camí Ral, Ronda Can Rabadà n° 23, nave 1, 08860 Castelldefels (Barcelona)","Informations",""
"FIB_219","en","pt","Contacte-nos","FANUC Iberia","País ou Região","SPAIN","Telefone","0938007497","093-800-7497","+34938007497","+34-93-800-7497","Internacional","Web page","http://www.fanuc.es","http://www.fanuc.es","Endereço","P.l. El Camí Ral, Ronda Can Rabadà n° 23, nave 1, 08860 Castelldefels (Barcelona)","Informação",""
"FIB_221","en","es","Contáctenos","FANUC Iberia","País o Región","SPAIN","Teléfono","0938007499","093-800-7499","+34938007499","+34-93-800-7499","Internacional","Página WEB","http://www.fanuc.es","http://www.fanuc.es","Dirección","P.l. El Camí Ral, Ronda Can Rabadà n° 23, nave 1, 08860 Castelldefels (Barcelona)","Información",""
"FIB_221","en","en","Contact Us","FANUC Iberia","Country or Region","SPAIN","Phone","0938007499","093-800-7499","+34938007499","+34-93-800-7499","International","Web page","http://www.fanuc.es","http://www.fanuc.es","Address","P.l. El Camí Ral, Ronda Can Rabadà n° 23, nave 1, 08860 Castelldefels (Barcelona)","Information",""
"FIB_221","en","fr","Contactez-nous","FANUC Iberia","Pays ou région","SPAIN","Téléphone","0938007499","093-800-7499","+34938007499","+34-93-800-7499","International","Page web","http://www.fanuc.es","http://www.fanuc.es","Adresse","P.l. El Camí Ral, Ronda Can Rabadà n° 23, nave 1, 08860 Castelldefels (Barcelona)","Informations",""
"FIB_221","en","pt","Contacte-nos","FANUC Iberia","País ou Região","SPAIN","Telefone","0938007499","093-800-7499","+34938007499","+34-93-800-7499","Internacional","Web page","http://www.fanuc.es","http://www.fanuc.es","Endereço","P.l. El Camí Ral, Ronda Can Rabadà n° 23, nave 1, 08860 Castelldefels (Barcelona)","Informação",""
"FIB_222","en","en","Contact Us","FANUC Iberia","Country or Region","SPAIN","Phone","0938007498","093-800-7498","+34938007498","+34-93-800-7498","International","Web page","http://www.fanuc.es","http://www.fanuc.es","Address","P.l. El Camí Ral, Ronda Can Rabadà n° 23, nave 1, 08860 Castelldefels (Barcelona)","Information",""
"FIB_222","en","pt","Contacte-nos","FANUC Iberia","País ou Região","SPAIN","Telefone","0938007498","093-800-7498","+34938007498","+34-93-800-7498","Internacional","Web page","http://www.fanuc.es","http://www.fanuc.es","Endereço","P.l. El Camí Ral, Ronda Can Rabadà n° 23, nave 1, 08860 Castelldefels (Barcelona)","Informação",""
"FIB_222","en","fr","Contactez-nous","FANUC Iberia","Pays ou région","SPAIN","Téléphone","0938007498","093-800-7498","+34938007498","+34-93-800-7498","International","Page web","http://www.fanuc.es","http://www.fanuc.es","Adresse","P.l. El Camí Ral, Ronda Can Rabadà n° 23, nave 1, 08860 Castelldefels (Barcelona)","Informations",""
"FIB_222","en","es","Contáctenos","FANUC Iberia","País o Región","SPAIN","Teléfono","0938007498","093-800-7498","+34938007498","+34-93-800-7498","Internacional","Página WEB","http://www.fanuc.es","http://www.fanuc.es","Dirección","P.l. El Camí Ral, Ronda Can Rabadà n° 23, nave 1, 08860 Castelldefels (Barcelona)","Información",""
"FUK_261","en","en","Contact Us","FANUC UK","Country or Region","United Kingdom","Phone","02476053001","024-7605-3001","+442476053001","+44-24-7605-3001","International","Web page","https://www.fanuc.eu/uk/en","https://www.fanuc.eu/uk/en","Address","Sapphire Way, Ansty Business Park, COVENTRY, CV7 9DR, UNITED KINGDOM","Information",""
"FUK_261","en","ga","Glaoigh orainn","FANUC UK","Tír nó Réigiún","BRETLAND","Fón","02476053001","024-7605-3001","+442476053001","+44-24-7605-3001","Idirnáisiúnta","leathanach gréasáin","https://www.fanuc.eu/uk/en","https://www.fanuc.eu/uk/en","Seoladh","Sapphire Way, Ansty Business Park, COVENTRY, CV7 9DR, Bretland","Eolas",""
"FUK_261","en","mt","Ikkuntatjana","FANUC UK","Pajjiż jew Reġjun","AN RÍOCHT AONTAITHE","Telefon","02476053001","024-7605-3001","+442476053001","+44-24-7605-3001","Internazzjonali","Paġna tal-web","https://www.fanuc.eu/uk/en","https://www.fanuc.eu/uk/en","Indirizz","Bealach Sapphire, Páirc Ghnó Ansty, COVENTRY, CV7 9DR, AN RÍOCHT AONTAITHE","Informazzjoni",""
"FUK_261","en","is","Hafðu samband við okkur","FANUC UK","Land eða svæði","UNITED KINGDOM","Sími","02476053001","024-7605-3001","+442476053001","+44-24-7605-3001","Alþjóðlegt","Vefsíða","https://www.fanuc.eu/uk/en","https://www.fanuc.eu/uk/en","Heimilisfang","Sapphire Way, Ansty Business Park, COVENTRY, CV7 9DR, UNITED KINGDOM","Upplýsingar",""
"FIT_285","en","it","Contattateci","FANUC ITALIA","Paese o regione","Italy","Telefono","00236015101","002-36-015-101","+390236015101","+39-02-36-015-101","Internazionale","Pagina web","https://www.fanuc.eu/it/it","https://www.fanuc.eu/it/it","Indirizzo","Via Lod, 13, 20045 Lainate (MI)","Informazioni",""
"FIT_285","en","en","Contact Us","FANUC ITALIA","Country or Region","Italy","Phone","00236015101","002-36-015-101","+390236015101","+39-02-36-015-101","International","Web page","https://www.fanuc.eu/it/it","https://www.fanuc.eu/it/it","Address","Via Lodi, 13, 20045 Lainate (MI)","Information",""
"FIB_309","en","pt","Contacte-nos","FANUC Iberia","País ou Região","PORTUGAL","Telefone","0220998822","0220-99-88-22","+351220998822","+351-220-99-88-22","Internacional","Web page","http://www.fanuc.pt","http://www.fanuc.pt","Endereço","Rua Professor David Martins Nº 148-L, 4485-805 Vilar Do Conde Porto Portugal","Informação",""
"FIB_309","en","en","Contact Us","FANUC Iberia","Country or Region","PORTUGAL","Phone","0220998822","0220-99-88-22","+351220998822","+351-220-99-88-22","International","Web page","http://www.fanuc.pt","http://www.fanuc.pt","Address","Rua Professor David Martins Nº 148-L, 4485-805 Vilar Do Conde Porto Portugal","Information",""
"FIB_309","en","fr","Contactez-nous","FANUC Iberia","Pays ou région","PORTUGAL","Téléphone","0220998822","0220-99-88-22","+351220998822","+351-220-99-88-22","International","Page web","http://www.fanuc.pt","http://www.fanuc.pt","Adresse","Rua Professor David Martins Nº 148-L, 4485-805 Vilar Do Conde Porto Portugal","Informations",""
"FIB_309","en","es","Contáctenos","FANUC Iberia","País o Región","PORTUGAL","Teléfono","0220998822","0220-99-88-22","+351220998822","+351-220-99-88-22","Internacional","Página WEB","http://www.fanuc.pt","http://www.fanuc.pt","Dirección","Rua Professor David Martins Nº 148-L, 4485-805 Vilar Do Conde Porto Portugal","Información",""
"FTR_315","en","en","Contact Us","FANUC Turkey - ISTANBUL","Country or Region","Turkey","Phone","04449362","0444-9-362","+904449362","+90-444-9-362","International","Web page","http://www.fanuc.eu/tr/tr","http://www.fanuc.eu/tr/tr","Address","Şerifali Mahallesi Turgut Özal Bulvarı No:190-192  34775 – Ümraniye İstanbul - TURKEY","Information",""
"FTR_315","en","tr","Bizimle temasa geçin","FANUC Turkey - ISTANBUL","Ülke veya Bölge","Turkey","Telefon","04449362","0444-9-362","+904449362","+90-444-9-362","Uluslararası","Web sitesi","http://www.fanuc.eu/tr/tr","http://www.fanuc.eu/tr/tr","Adres","Şerifali Mahallesi Turgut Özal Bulvarı No:190-192  34775 – Ümraniye İstanbul - TURKEY","Bilgi",""
"FBG_321","en","en","Contact Us","FANUC Bulgaria","Country or Region","Bulgaria","Phone","024929369","02-49-29-369","+35924929369","+359-2-49-29-369","International","Web page","http://www.fanuc.bg","http://www.fanuc.bg","Address","1588 Sofia, Bulgaria, 467 “Okolovrasten pat” (Logic park STAD)","Information",""
"FIS_333","en","he","צור קשר ","FANUC Israel","מדינה או איזור ","ישראל","טלפון","039739900","0397-399-00","+97239739900","+972-397-399-00","בינלאומי","אתר אינטרנט","https://www.fanuc.eu/il/en","https://www.fanuc.eu/il/en","כתובת ","3 Ha’arava street Airport city (Beit Aizenberg ) 7019900 ISRAEL","מידע ","מענה טלפוני בימים ראשון עד חמישי (8:00-18:00)"
"FIS_333","en","en","Contact Us","FANUC Israel","Country or Region","Israel","Phone","039739900","0397-399-00","+97239739900","+972-397-399-00","International","Web page","https://www.fanuc.eu/il/en","https://www.fanuc.eu/il/en","Address","3 Ha’arava street Airport city (Beit Aizenberg ) 7019900 ISRAEL","Information","Telephone calls Sunday to Thursday (8:00 - 18:00)"
"FIS_334","en","en","Contact Us","FANUC Israel","Country or Region","Israel","Phone","039839900","0398-399-00","+97239839900","+972-398-399-00","International","Web page","https://www.fanuc.eu/il/en","https://www.fanuc.eu/il/en","Address","3 Ha’arava street Airport city (Beit Aizenberg ) 7019900 ISRAEL","Information","Telephone calls Sunday to Thursday (8:00 - 18:00)"
"FIS_334","en","he","צור קשר ","FANUC Israel","מדינה או איזור ","ישראל","טלפון","039839900","0398-399-00","+97239839900","+972-398-399-00","בינלאומי","אתר אינטרנט","https://www.fanuc.eu/il/en","https://www.fanuc.eu/il/en","כתובת ","3 Ha’arava street Airport city (Beit Aizenberg ) 7019900 ISRAEL","מידע ","מענה טלפוני בימים ראשון עד חמישי (8:00-18:00)"
"FIS_335","en","he","צור קשר ","FANUC Israel","מדינה או איזור ","ישראל","טלפון","039939900","0399-399-00","+97239939900","+972-399-399-00","בינלאומי","אתר אינטרנט","https://www.fanuc.eu/il/en","https://www.fanuc.eu/il/en","כתובת ","3 Ha’arava street Airport city (Beit Aizenberg ) 7019900 ISRAEL","מידע ","מענה טלפוני בימים ראשון עד חמישי (8:00-18:00)"
"FIS_335","en","en","Contact Us","FANUC Israel","Country or Region","Israel","Phone","039939900","0399-399-00","+97239939900","+972-399-399-00","International","Web page","https://www.fanuc.eu/il/en","https://www.fanuc.eu/il/en","Address","3 Ha’arava street Airport city (Beit Aizenberg ) 7019900 ISRAEL","Information","Telephone calls Sunday to Thursday (8:00 - 18:00)"
"FIS_336","en","he","צור קשר ","FANUC Israel","מדינה או איזור ","ישראל","טלפון","040139900","0401-399-00","+97240139900","+972-401-399-00","בינלאומי","אתר אינטרנט","https://www.fanuc.eu/il/en","https://www.fanuc.eu/il/en","כתובת ","3 Ha’arava street Airport city (Beit Aizenberg ) 7019900 ISRAEL","מידע ","מענה טלפוני בימים ראשון עד חמישי (8:00-18:00)"
"FIS_336","en","en","Contact Us","FANUC Israel","Country or Region","Israel","Phone","040139900","0401-399-00","+97240139900","+972-401-399-00","International","Web page","https://www.fanuc.eu/il/en","https://www.fanuc.eu/il/en","Address","3 Ha’arava street Airport city (Beit Aizenberg ) 7019900 ISRAEL","Information","Telephone calls Sunday to Thursday (8:00 - 18:00)"
"FIS_337","en","en","Contact Us","FANUC Israel","Country or Region","Israel","Phone","040239900","0402-399-00","+97240239900","+972-402-399-00","International","Web page","https://www.fanuc.eu/il/en","https://www.fanuc.eu/il/en","Address","3 Ha’arava street Airport city (Beit Aizenberg ) 7019900 ISRAEL","Information","Telephone calls Sunday to Thursday (8:00 - 18:00)"
"FIS_337","en","he","צור קשר ","FANUC Israel","מדינה או איזור ","ישראל","טלפון","040239900","0402-399-00","+97240239900","+972-402-399-00","בינלאומי","אתר אינטרנט","https://www.fanuc.eu/il/en","https://www.fanuc.eu/il/en","כתובת ","3 Ha’arava street Airport city (Beit Aizenberg ) 7019900 ISRAEL","מידע ","מענה טלפוני בימים ראשון עד חמישי (8:00-18:00)"
"FIS_338","en","en","Contact Us","FANUC Israel","Country or Region","Israel","Phone","040339900","0403-399-00","+97240339900","+972-403-399-00","International","Web page","https://www.fanuc.eu/il/en","https://www.fanuc.eu/il/en","Address","3 Ha’arava street Airport city (Beit Aizenberg ) 7019900 ISRAEL","Information","Telephone calls Sunday to Thursday (8:00 - 18:00)"
"FIS_338","en","he","צור קשר ","FANUC Israel","מדינה או איזור ","ישראל","טלפון","040339900","0403-399-00","+97240339900","+972-403-399-00","בינלאומי","אתר אינטרנט","https://www.fanuc.eu/il/en","https://www.fanuc.eu/il/en","כתובת ","3 Ha’arava street Airport city (Beit Aizenberg ) 7019900 ISRAEL","מידע ","מענה טלפוני בימים ראשון עד חמישי (8:00-18:00)"
"FCZ_363","en","cs","Kontaktujte nás","FANUC Czech","Země nebo region","Česká Republika","Telefon","0234072130","0234-072-130","+420234072130","+420-234-072-130","Mezinárodní","Web stránka","https://www.fanuc.eu/cz/cs","https://www.fanuc.eu/cz/cs","Adresa","K Bílému vrchu 3142/7, CZ-193 00 Praha 9","Informace",""
"FCZ_363","en","en","Contact Us","FANUC Czech","Country or Region","Czech Republic","Phone","0234072130","0234-072-130","+420234072130","+420-234-072-130","International","Web page","https://www.fanuc.eu/cz/cs","https://www.fanuc.eu/cz/cs","Address","K Bílému vrchu 3142/7, CZ-193 00 Praha 9","Information",""
"FHU_369","en","hu","Lépjen kapcsolatba velünk","FANUC Hungary","Ország vagy régió","Magyarország","Telefon","023884201","023-884-201","+3623884201","+36-23-884-201","Nemzetközi","Honlap","https://www.fanuc.eu/hu/hu","https://www.fanuc.eu/hu/hu","Cím","2045 Törökbálint, Torbágy utca 7. Magyarország","Információ",""
"FHU_369","en","en","Contact Us","FANUC Hungary","Country or Region","Hungary","Phone","023884201","023-884-201","+3623884201","+36-23-884-201","International","Web page","https://www.fanuc.eu/hu/hu","https://www.fanuc.eu/hu/hu","Address","Torbágy utca 7, 2045 Törökbálint Hungary","Information",""
"FHU_371","en","hu","Lépjen kapcsolatba velünk","FANUC Hungary","Ország vagy régió","Magyarország","Telefon","023884202","023-884-202","+3623884202","+36-23-884-202","Nemzetközi","Honlap","https://www.fanuc.eu/hu/hu","https://www.fanuc.eu/hu/hu","Cím","2045 Törökbálint, Torbágy utca 7. Magyarország","Információ",""
"FHU_371","en","en","Contact Us","FANUC Hungary","Country or Region","Hungary","Phone","023884202","023-884-202","+3623884202","+36-23-884-202","International","Web page","https://www.fanuc.eu/hu/hu","https://www.fanuc.eu/hu/hu","Address","Torbágy utca 7, 2045 Törökbálint Hungary","Information",""
"FHU_373","en","hu","Lépjen kapcsolatba velünk","FANUC Hungary","Ország vagy régió","Magyarország","Telefon","023884203","023-884-203","+3623884203","+36-23-884-203","Nemzetközi","Honlap","https://www.fanuc.eu/hu/hu","https://www.fanuc.eu/hu/hu","Cím","2045 Törökbálint, Torbágy utca 7. Magyarország","Információ",""
"FHU_373","en","en","Contact Us","FANUC Hungary","Country or Region","Hungary","Phone","023884203","023-884-203","+3623884203","+36-23-884-203","International","Web page","https://www.fanuc.eu/hu/hu","https://www.fanuc.eu/hu/hu","Address","Torbágy utca 7, 2045 Törökbálint Hungary","Information",""
"FPL_375","en","pl","Skontaktuj się z nami","FANUC Polska","Państwo lub Region","Polska","Telefon","0717766177","071-7766-177","+48717766177","+48-71-7766-177","Międzynarodowy","Strona www","https://www.fanuc.eu/pl/pl","https://www.fanuc.eu/pl/pl","Adres","Tadeusza Wendy 2 52-407 Wroclaw , Polska","Informacje",""
"FPL_375","en","en","Contact Us","FANUC Polska","Country or Region","Poland","Phone","0717766177","071-7766-177","+48717766177","+48-71-7766-177","International","Web page","https://www.fanuc.eu/pl/pl","https://www.fanuc.eu/pl/pl","Address","Tadeusza Wendy 2 52-407 Wroclaw , Polska","Information",""
"FPL_377","en","pl","Skontaktuj się z nami","FANUC Polska","Państwo lub Region","Polska","Telefon","0717766174","071-7766-174","+48717766174","+48-71-7766-174","Międzynarodowy","Strona www","https://www.fanuc.eu/pl/pl","https://www.fanuc.eu/pl/pl","Adres","Tadeusza Wendy 2 52-407 Wroclaw , Polska","Informacje",""
"FPL_377","en","en","Contact Us","FANUC Polska","Country or Region","Poland","Phone","0717766174","071-7766-174","+48717766174","+48-71-7766-174","International","Web page","https://www.fanuc.eu/pl/pl","https://www.fanuc.eu/pl/pl","Address","Tadeusza Wendy 2 52-407 Wroclaw , Polska","Information",""
"FNO_381","en","nb","Kontakt Oss","FANUC Nordic","Land eller region","Sverige","Telefon","0850580777","085-058-07-77","+46850580777","+46-85-058-07-77","Internasjonal","Web side","https://www.fanuc.eu/se/en","https://www.fanuc.eu/se/en","Adresse","Djurhagegatan 10 SE-213 76 Malmö","Informasjon",""
"FNO_381","en","lv","Sazināties ar mums","FANUC Nordic","Valsts vai reģions","Zviedrija","Tālrunis","0850580777","085-058-07-77","+46850580777","+46-85-058-07-77","Starptautiskā","Mājas lapa","https://www.fanuc.eu/se/en","https://www.fanuc.eu/se/en","Adrese","Djurhagegatan 10 SE-213 76 Malme","Informācija",""
"FNO_381","en","en","Contact Us","FANUC Nordic","Country or Region","Sweden","Phone","0850580777","085-058-07-77","+46850580777","+46-85-058-07-77","International","Web page","https://www.fanuc.eu/se/en","https://www.fanuc.eu/se/en","Address","Djurhagegatan 10 SE-213 76 Malmö","Information",""
"FNO_381","en","da","Kontakt os","FANUC Nordic","Land eller region","Sverige","Telefon","0850580777","085-058-07-77","+46850580777","+46-85-058-07-77","International","Web side","https://www.fanuc.eu/se/en","https://www.fanuc.eu/se/en","Adresse","Djurhagegatan 10 SE-213 76 Malmø","Information",""
"FNO_381","en","sv","Kontakta Oss","FANUC Nordic","Land eller region","Sverige","Telefon","0850580777","085-058-07-77","+46850580777","+46-85-058-07-77","Internationell","Web sida","https://www.fanuc.eu/se/en","https://www.fanuc.eu/se/en","Adress","Djurhagegatan 10 SE-213 76 Malmö","Information",""
"FNO_381","en","nb-no","Kontakt Oss","FANUC Nordic","Land eller region","Sverige","Telefon","0850580777","085-058-07-77","+46850580777","+46-85-058-07-77","Internasjonal","Web side","https://www.fanuc.eu/se/en","https://www.fanuc.eu/se/en","Adresse","Djurhagegatan 10 SE-213 76 Malmö","Informasjon",""
"FNO_381","en","lt","Susisiekite su momis","FANUC Nordic","Šalis ar regionas","Švedija","Telefonas","0850580777","085-058-07-77","+46850580777","+46-85-058-07-77","Tarptautinis","Internetinis puslapis","https://www.fanuc.eu/se/en","https://www.fanuc.eu/se/en","Adresas","Djurhagegatan 10 SE-213 76 Malmė","Informacija",""
